序号,分类,题目
0,入门基础,安装一个第三方库的命名格式是
1,入门基础,Python 是一个
2,入门基础,在Python语言中，可以作为源文件后缀名的是
3,入门基础,以下不属于Python语言保留字的是
4,入门基础,以下哪一项在 Python 中被视为注释?
5,入门基础,Python为源文件指定的默认字符编码是
6,入门基础,下载但不安装一个第三方库的命名格式是
7,入门基础,在Python语言中，IPO模式不包括
8,入门基础,以下关于Python语言技术特点的描述中，错误的是
9,入门基础,"以下代码的输出结果是
print(0.1+0.2==0.3)"
10,入门基础,Python 受哪些语言启发
11,入门基础,以下关于程序设计语言的描述，错误的选项是
12,入门基础,以下关于Python字符编码的描述中，错误的是
13,入门基础,以下不是Python语言特点的是
14,入门基础,"以下代码的输出结果是
x='A\0B\0C'
print(len(x))"
15,入门基础,以下不属于Python语言保留字的是
16,入门基础,以下哪个语句用于连接两个字符串？
17,入门基础,拟在屏幕上打印输出Hel1oWorld，使用的Python语句是
18,入门基础,Python 文件扩展名是
19,入门基础,以下关于语言类型的描述中，错误的是
20,入门基础,在Python语言中，不能作为变量名的是
21,入门基础,以下关于Python缩进的描述中，错误的是
22,入门基础,以下选项不属于Python语言特点的是
23,基础语法,以下符合Python语言变量命名规则的是
24,基础语法,以下不是Python语言保留字的是
25,基础语法,以下关于Python程序语法元素的描述，正确的选项是
26,基础语法,Python语言中用来表示代码块所属关系的语法是
27,基础语法,以下不是Python语言保留字的是
28,基础语法,以下关于二进制整数的定义，正确的是
29,基础语法,下列关于Python中的垃圾回收机制的说法，正确的是？
30,基础语法,"执行以下程序，输出结果是
y='中文'
x='中文字'
print(x>y)"
31,基础语法,Python中，with语句主要用于什么场景？
32,基础语法,Python中，下列哪个运算符用于比较两个值是否相等？
33,基础语法,以下选项，不是Python保留字的选项是
34,基础语法,以下变量名中，不符合Python语言变量命名规则的是
35,基础语法,以下选项，错误的是
36,基础语法,Python中，下列哪个选项不是合法的变量名？
37,基础语法,下列关于Python中的装饰器语法，正确的是？
38,基础语法,Python中，下列哪个选项可以创建一个线程？
39,基础语法,下列关于Python生成器的说法，正确的是？
40,基础语法,以下保留字不属于分支或循环逻辑的是
41,基础语法,以下选项，不是Python保留字的选项是
42,基础语法,Python中，下列哪个选项可以创建一个生成器？
43,基础语法,以下描述错误的是
44,基础语法,以下关于Python函数的描述中，错误的是
45,基础语法,下列关于Python装饰器的说法，正确的是？
46,基础语法,以下关于Python语言浮点数类型的描述中，错误的是
47,基础语法,以下的描述中，不属于Python语言控制结构的是
48,基础语法,Python中，如何导入一个模块？
49,基础语法,下列关于Python闭包的说法，正确的是？
50,变量类型,以下关于Python全局变量和局部变量的描述中，错误的是
51,变量类型,Python中，下列哪种数据类型是不可变的？
52,变量类型,以下不是Python组合数据类型的是
53,变量类型,以下不是Python组合数据类型的是
54,变量类型,Python语言提供三种基本的数字类型，它们是
55,变量类型,在Python语言中，不属于组合数据类型的是
56,变量类型,以下关于Python全局变量和局部变量的描述中，错误的是
57,变量类型,Python中，用于表示字符串的数据类型是？
58,变量类型,关于Python全局变量和局部变量，以下选项描述错误的是
59,变量类型,如果Python程序执行时产生了“TypeErrar的错误，其原因是
60,运算符,位运算符，按位异或运算的符号是
61,运算符,整数除法（向下取整）的运算符是
62,运算符,以下不是Python语言所使用特殊含义符号的是
63,运算符,位运算符，按位与运算的符号是
64,运算符,右移运算符是
65,运算符,比较两个变量是否相等的运算符是
66,运算符,赋值运算符，将一个值赋给一个变量，是
67,运算符,以下不是Pythan语言所使用特殊含义符号的是
68,运算符,复合赋值运算符，同时进行运算和赋值，例如+=，是
69,运算符,比较两个变量是否不相等的运算符是
70,运算符,逻辑“或”运算的运算符是
71,运算符,运算符的优先级，从高到低依次是
72,运算符,位运算符，按位取反运算的符号是
73,运算符,左移运算符是
74,运算符,成员运算符，用于判断一个元素是否在序列中，是
75,运算符,位运算符，按位或运算的符号是
76,运算符,取模运算（求余）的运算符是
77,运算符,幂运算的运算符是
78,运算符,逻辑“非”运算的运算符是
79,运算符,以下哪个运算符用于字符串的连接
80,运算符,逻辑“与”运算的运算符是
81,运算符,身份运算符，用于判断两个变量是否引用同一个对象，是
82,条件语句,以下关于Python分支的描述中，错误的是
83,条件语句,Python中，if语句的关键字是？
84,条件语句,"以下程序的输出结果是
x=10
y=0
if (x>5) or (x/y>5)：
	print('Right')
e1se:
	print('Wrong')"
85,条件语句,"以下代码的输出结果是
def fibRate(n):
	if n<=0:
		return -1
	elif n==1:
		return -l
	elif n==2:
		return 1
	e1se:
		L= [1,1]
		for i in range(2,n)：
			L.append(L[-1]+L[-2])
		return L[-2]/L[-1]
print(fibRate(5))"
86,条件语句,"以下代码的输出结果是
def young(age):
	if 12 <= age<=17:
		print(“作为一个大学生，你很年轻”)
	elif age <12:
		print(“作为一个大学生，你太年轻了”)
	elif age <=28:
		print(“作为一个大学生，你要努力学习”)
	e1se:
		print(“作为一个大学生，你很有毅力”)
young(18)"
87,条件语句,以下关于分支结构的描述中，错误的是
88,条件语句,"键盘输入数字5，以下代码的输出结果是
n=eval(input(""请输入一个整数：""))
s = 0
if n>=5:
	n -= 1
	s = 4
if n<5:
	n-=1
	s=3
print(s)"
89,条件语句,以下关于Python语言的描述中，正确的是
90,条件语句,"以下代码的输出结果是
def Hello(famlyName，age)：
	if age > 50:
		print('您好！'+famlyName+'大爷')
	elif age > 40：
		print('您好！'+famlyName+'叔叔')
	elif age > 30:
		print('您好！'+famlyNane+'大哥')
	e1se:
		print('您好！'+'小'+famlyNane)
Hello(age=60，famlyName='王')"
91,条件语句,"以下程序的输出结果是
ls=[12,44,23,46]
for i in ls:
	if i=='44':
		print('found it! i=', i)
		break
	else:
		print('not found it ...')"
92,循环语句,关于Python无限循环，以下选项描述错误的是
93,循环语句,"以下程序的输出结果是
for c in 'Python NCRE'：
	if c=='N：
		break
		print (c)"
94,循环语句,以下关于Python循环结构的描述中，错误的是
95,循环语句,"以下代码的输出结果是
a=[[1,2,3],[4,5,6],[7,8,9]]
s=0
for c in a:
	for j in range(3):
		s += c[j]
print(s)"
96,循环语句,以下关于Python循环结构的描述中，错误的是
97,循环语句,"以下程序的输出结果是
s=10
def run(n)：
	global s
	for i in range(n)：
		s+=i
	return s
print(s, run(5))"
98,循环语句,"以下关于""for<循环变量>in<循环结构>""的描述，错误的是"
99,循环语句,以下保留字不用于循环逻辑的是
100,循环语句,"执行以下程序，输入fish520，输出结果是
W= input()
for x in w:
	if'0'<=x<=
	 continue
	e1se:
		w.replace(x,'')
print(w)"
101,循环语句,在Python语言中，使用for..in.方式形成的循环不能遍历的类型是
102,循环语句,"以下代码的输出结果是
for s in “testatest"":
	if s==""a"" or s==""e"":
		continue
	print(s, end='')"
103,循环语句,"以下代码的输出结果是
fori in range(1,6):
	if i%4==0:
		break
	e1se:
		print(i,end = "","")"
104,循环语句,以下关于分支和循环结构的描述中，错误的是
105,循环语句,"ls=['1','2','3']，以下关于循环结构的描述，错误的是"
106,循环语句,"以下程序的输出结果是
s=2
for i in range(1,10):
	s+=i
print(s)"
107,循环语句,"以下代码的输出结果是
for s in 'PythonNCRE：'
	if s=='N':
		continue
	print(e, end='')"
108,循环语句,"执行以下程序，输ab，然后回车，结果是
k=10
while True:
	s=input('请输入q退出：')
	if s=='a':
		K+=1
		continue
	else:
		k+=2
		break
print(k)"
109,循环语句,以下构成Python循环结构的方法中，正确的是
110,数字,Python中，如何将一个二进制数转换为十进制数
111,数字,Python中，以下哪个函数可以返回一个随机整数
112,数字,在Python中，以下哪个运算符用于位与运算
113,数字,在Python中，以下哪种运算会将结果转换为浮点数
114,数字,Python中，如何将一个十进制数转换为二进制数
115,数字,以下哪个函数可以将一个数四舍五入为整数
116,数字,Python中的复数用什么表示
117,数字,在Python中，以下哪个运算符用于求余
118,数字,以下哪个是Python中的无穷大表示
119,数字,Python中，以下哪种数据类型不支持比较运算
120,数字,以下哪个函数可以将字符串转换为浮点数
121,数字,Python中，如何生成一个指定范围内的随机数
122,数字,Python中的幂运算用什么符号表示
123,数字,以下哪个函数可以计算一个数的绝对值
124,数字,Python中，int类型属于以下哪种数据类型
125,数字,以下哪个是Python中的浮点数表示
126,数字,在Python中，以下哪种方法可以判断一个数是否为偶数
127,数字,Python中的数学库是什么
128,字符串,s='1234567890'，以下表示1234的选项是
129,字符串,Python中，如何将一个字符串转换为整数？
130,字符串,以下关于字符串类型的操作的描述，正确的是
131,字符串,"以下程序的输出结果是
x=4
ca='123456'
if str(x) in ca:
	print(ca.replace(ca[x]，str(x-2)))"
132,字符串,"设str1='python'，语句print(strl.center(10,*))的执行结果是"
133,字符串,设str1='*@pythan@*’，语句print(str1[2:].stip('@'))的执行结果是
134,字符串,"以下程序的输出结果是
for i in 'Nation':
	for k in range(2):
		if i=='n':
			break
		print(i，end='')"
135,字符串,以下关于Python字符串的描述中，错误的是
136,字符串,字符串tstr='television'，显示结果为vi的选项是
137,字符串,Python中，如何判断一个字符串是否包含某个子串？
138,字符串,"以下代码的输出结果是
print('{:@>10.6}'.format('Fog'))"
139,字符串,"以下代码的输出结果是
for s in 'HelloWorld':
	if s=='W':
		continue
	print (s, end='')"
140,列表,"以下程序的输出结果是
ls=['aa',[2,3,3.0]]
print(ls.index(2))"
141,列表,下列哪个选项是Python中正确的列表推导式，用于生成一个包含0到9的列表？
142,列表,以下关于数据维度的描述，错误的是
143,列表,"以下代码的输出结果是
1s=['2020', '20.20', 'Python']
ls,append(2020)
1s.append([2020，'2020'])
print(ls)"
144,列表,"二维列表ls=[[9,8],[7,6],[5,4],[3,2],[1,0]]，能够获得数字4的选项是"
145,列表,"以下代码的输出结果是
S= 'Pame'
for i in range(len(S))
	print(S[-il，end='')"
146,列表,以下用来处理Python列表的方法中，错误的是
147,列表,"以下程序的输出结果是
ls1=[1.2.3.4.5]
ls2=ls1
ls2.reverse()
print(lsl)"
148,列表,"以下程序的输出结果是
ls=[1,2,3]
lt=[4,5，6]
print(ls+lt)"
149,列表,"以下代码的输出结果是
1s = ['car','truck2']
def funC(A)：
	ls.append(A)
	return
func('bus')
print(ls)"
150,列表,对于序列s，能够返回序列s中第i到第i以1为步长的子序列的表达是
151,列表,"以下程序的输出结果是
L1=[1,2,3,4]
L2=Ll.copy()
L2.reverse()
print(L1)"
152,列表,"以下程序的输出结果是
a=[3,2,1]
for i in a[::-1]:
	print (i,end='')"
