symbol,name,price,market_cap,volume,change,source
AAPL,Apple Inc.,245.67,3.72T,45.2M,1.23,Yahoo! Finance
MSFT,Microsoft Corporation,420.15,3.11T,22.8M,-0.45,Yahoo! Finance
GOOGL,Alphabet Inc.,175.89,2.15T,30.1M,0.87,Yahoo! Finance
AMZN,"Amazon.com, Inc.",208.34,2.18T,41.5M,2.11,Yahoo! Finance
NVDA,NVIDIA Corporation,135.22,3.35T,210.3M,3.45,Yahoo! Finance
TSLA,"Tesla, Inc.",420.76,1.34T,98.7M,-1.89,Yahoo! Finance
META,"Meta Platforms, Inc.",595.12,1.50T,15.6M,0.56,Yahoo! Finance
JPM,JPMorgan Chase & Co.,225.45,645.8B,8.9M,0.33,Yahoo! Finance
V,Visa Inc.,290.67,560.2B,6.7M,-0.12,Yahoo! Finance
MA,Mastercard Incorporated,510.34,475.1B,2.4M,0.78,Yahoo! Finance
